SampleID	Sex	ID	Population	Sub-population	Cohort
HG00128	female	SAME122868	EUR	NA	1000 Genomes Project
HG00130	female	SAME123063	EUR	NA	1000 Genomes Project
HG00154	female	SAME124587	EUR	NA	1000 Genomes Project
HG00109	male	SAME125160	EUR	NA	1000 Genomes Project
HG00111	female	SAME125340	EUR	NA	1000 Genomes Project
HG00158	female	SAME124585	EUR	NA	1000 Genomes Project
HG00160	male	SAME124780	EUR	NA	1000 Genomes Project
HG00142	male	SAME124818	EUR	NA	1000 Genomes Project
HG00141	male	SAME124395	EUR	NA	1000 Genomes Project
HG00116	male	SAME125345	EUR	NA	1000 Genomes Project
HG00146	female	SAME124390	EUR	NA	1000 Genomes Project
HG00123	female	SAME122875	EUR	NA	1000 Genomes Project
HG00242	male	SAME123223	EUR	NA	1000 Genomes Project
HG00096	male	SAME123268	EUR	NA	1000 Genomes Project
HG00243	male	SAME123224	EUR	NA	1000 Genomes Project
HG00189	male	SAME123640	EUR	NA	1000 Genomes Project
HG00235	female	SAME124122	EUR	NA	1000 Genomes Project
HG00250	female	SAME123054	EUR	NA	1000 Genomes Project
HG00110	female	SAME125339	EUR	NA	1000 Genomes Project
HG00178	female	SAME124964	EUR	NA	1000 Genomes Project
HG00115	male	SAME125344	EUR	NA	1000 Genomes Project
HG00180	female	SAME123645	EUR	NA	1000 Genomes Project
HG00185	male	SAME123648	EUR	NA	1000 Genomes Project
HG00139	male	SAME123060	EUR	NA	1000 Genomes Project
HG00318	female	SAME124333	EUR	NA	1000 Genomes Project
HG00122	female	SAME122876	EUR	NA	1000 Genomes Project
HG00320	female	SAME123797	EUR	NA	1000 Genomes Project
HG00127	female	SAME122871	EUR	NA	1000 Genomes Project
HG00325	male	SAME123793	EUR	NA	1000 Genomes Project
HG00103	male	SAME125151	EUR	NA	1000 Genomes Project
HG00159	male	SAME124586	EUR	NA	1000 Genomes Project
HG00108	male	SAME125161	EUR	NA	1000 Genomes Project
HG00173	female	SAME124960	EUR	NA	1000 Genomes Project
HG00177	female	SAME124957	EUR	NA	1000 Genomes Project
HG00231	female	SAME124126	EUR	NA	1000 Genomes Project
HG00329	male	SAME123798	EUR	NA	1000 Genomes Project
HG00236	female	SAME123273	EUR	NA	1000 Genomes Project
HG00331	female	SAME123986	EUR	NA	1000 Genomes Project
HG00255	female	SAME123049	EUR	NA	1000 Genomes Project
HG00336	male	SAME123983	EUR	NA	1000 Genomes Project
HG00262	female	SAME123580	EUR	NA	1000 Genomes Project
HG00273	male	SAME123419	EUR	NA	1000 Genomes Project
HG00274	female	SAME123422	EUR	NA	1000 Genomes Project
HG00278	male	SAME123425	EUR	NA	1000 Genomes Project
HG00281	female	SAME122832	EUR	NA	1000 Genomes Project
HG00280	male	SAME122831	EUR	NA	1000 Genomes Project
HG00306	female	SAME124159	EUR	NA	1000 Genomes Project
HG00261	female	SAME123583	EUR	NA	1000 Genomes Project
HG00313	female	SAME124337	EUR	NA	1000 Genomes Project
HG00266	female	SAME123576	EUR	NA	1000 Genomes Project
HG00267	male	SAME123577	EUR	NA	1000 Genomes Project
HG00254	female	SAME123050	EUR	NA	1000 Genomes Project
HG00419	female	SAME122991	EAS	NA	1000 Genomes Project
HG00259	female	SAME123056	EUR	NA	1000 Genomes Project
HG00421	male	SAME122808	EAS	NA	1000 Genomes Project
HG00367	female	SAME124540	EUR	NA	1000 Genomes Project
HG00379	female	SAME124746	EUR	NA	1000 Genomes Project
HG00382	male	SAME123033	EUR	NA	1000 Genomes Project
HG00343	female	SAME124923	EUR	NA	1000 Genomes Project
HG00407	female	SAME125106	EAS	NA	1000 Genomes Project
HG00350	female	SAME125121	EUR	NA	1000 Genomes Project
HG00464	female	SAME123497	EAS	NA	1000 Genomes Project
HG00476	female	SAME123341	EAS	NA	1000 Genomes Project
HG00324	female	SAME123794	EUR	NA	1000 Genomes Project
HG00344	female	SAME125255	EUR	NA	1000 Genomes Project
HG00355	female	SAME125125	EUR	NA	1000 Genomes Project
HG00349	female	SAME124925	EUR	NA	1000 Genomes Project
HG00362	female	SAME124537	EUR	NA	1000 Genomes Project
HG00351	male	SAME125122	EUR	NA	1000 Genomes Project
