HG00128 female SAME122868 EUR
HG00130 female SAME123063 EUR
HG00147 female SAME124389 EUR
HG00154 female SAME124587 EUR
HG00104 female SAME123950 EUR
HG00109 male SAME125160 EUR
HG00153 female SAME124594 EUR
HG00111 female SAME125340 EUR
HG00158 female SAME124585 EUR
HG00135 female SAME123068 EUR
HG00160 male SAME124780 EUR
HG00142 male SAME124818 EUR
HG00141 male SAME124395 EUR
HG00116 male SAME125345 EUR
HG00146 female SAME124390 EUR
HG00123 female SAME122875 EUR
HG00242 male SAME123223 EUR
HG00096 male SAME123268 EUR
HG00247 female SAME123220 EUR
HG00243 male SAME123224 EUR
HG00189 male SAME123640 EUR
HG00235 female SAME124122 EUR
HG00250 female SAME123054 EUR
HG00110 female SAME125339 EUR
HG00178 female SAME124964 EUR
HG00115 male SAME125344 EUR
HG00180 female SAME123645 EUR
HG00134 female SAME123067 EUR
HG00185 male SAME123648 EUR
HG00139 male SAME123060 EUR
HG00318 female SAME124333 EUR
HG00122 female SAME122876 EUR
HG00320 female SAME123797 EUR
HG00127 female SAME122871 EUR
HG00325 male SAME123793 EUR
HG00103 male SAME125151 EUR
HG00159 male SAME124586 EUR
HG00108 male SAME125161 EUR
HG00173 female SAME124960 EUR
HG00177 female SAME124957 EUR
HG00231 female SAME124126 EUR
HG00329 male SAME123798 EUR
HG00236 female SAME123273 EUR
HG00331 female SAME123986 EUR
HG00255 female SAME123049 EUR
HG00336 male SAME123983 EUR
HG00262 female SAME123580 EUR
HG00273 male SAME123419 EUR
HG00274 female SAME123422 EUR
HG00278 male SAME123425 EUR
HG00281 female SAME122832 EUR
HG00280 male SAME122831 EUR
HG00306 female SAME124159 EUR
HG00261 female SAME123583 EUR
HG00313 female SAME124337 EUR
HG00266 female SAME123576 EUR
HG00267 male SAME123577 EUR
HG00254 female SAME123050 EUR
HG00419 female SAME122991 EAS
HG00259 female SAME123056 EUR
HG00421 male SAME122808 EAS
HG00367 female SAME124540 EUR
HG00379 female SAME124746 EUR
HG00382 male SAME123033 EUR
HG00343 female SAME124923 EUR
HG00407 female SAME125106 EAS
HG00350 female SAME125121 EUR
HG00464 female SAME123497 EAS
HG00312 male SAME124336 EUR
HG00476 female SAME123341 EAS
HG00324 female SAME123794 EUR
HG00344 female SAME125255 EUR
HG00355 female SAME125125 EUR
HG00349 female SAME124925 EUR
HG00362 female SAME124537 EUR
HG00351 male SAME125122 EUR
HG00285 female SAME122836 EUR
HG00356 female SAME125123 EUR
HG00437 female SAME125261 EAS
HG00445 male SAME124975 EAS
HG00452 female SAME123115 EAS
HG00449 female SAME123885 EAS
HG00457 male SAME123095 EAS
HG00451 male SAME125159 EAS
HG00534 female SAME123915 EAS
HG00332 female SAME123987 EUR
HG00337 female SAME123984 EUR
HG00375 male SAME124750 EUR
HG00533 male SAME124353 EAS
HG00368 female SAME124535 EUR
HG00584 female SAME124663 EAS
HG00589 male SAME124824 EAS
HG00583 male SAME124829 EAS
HG00590 female SAME125009 EAS
HG00596 female SAME125007 EAS
HG00463 male SAME123496 EAS
HG00560 female SAME124456 EAS
HG00475 male SAME123342 EAS
HG00565 male SAME124452 EAS
HG00381 female SAME123030 EUR
HG00577 male SAME123516 EAS
HG00406 male SAME123156 EAS
HG00595 male SAME125006 EAS
HG00692 male SAME123684 EAS
HG00608 female SAME125369 EAS
HG00610 male SAME125199 EAS
HG00623 female SAME1839285 EAS
HG00418 male SAME122992 EAS
HG00628 male SAME123085 EAS
HG00557 female SAME124258 EAS
HG00553 male SAME124254 AMR
HG00653 male SAME123251 EAS
HG00672 female SAME123606 EAS
HG00654 female SAME123234 EAS
HG00684 female SAME123890 EAS
HG00689 male SAME123893 EAS
HG00611 female SAME125198 EAS
HG00635 female SAME122902 EAS
HG00867 female SAME123550 EAS
HG00879 female SAME123399 EAS
HG00731 male SAME125390 AMR
HG00881 male SAME123540 EAS
HG00736 male SAME123058 AMR
HG00956 female SAME124319 EAS
HG01049 female SAME125248 AMR
HG00982 male SAME123770 EAS
HG01051 male SAME123712 AMR
HG01029 female SAME123523 EAS
HG00728 male SAME1840267 EAS
HG01075 male SAME124071 AMR
HG01082 male SAME125398 AMR
HG00704 male SAME122928 EAS
HG00705 female SAME122927 EAS
HG00717 female SAME124926 EAS
HG00716 male SAME123112 EAS
HG00729 female SAME1840273 EAS
HG01063 male SAME1839767 AMR
HG00634 male SAME122903 EAS
HG00742 male SAME1840188 AMR
HG01070 female SAME123993 AMR
HG00759 female SAME125020 EAS
HG01102 female SAME123678 AMR
HG00766 female SAME124458 EAS
HG01107 male SAME123675 AMR
HG00743 female SAME1840184 AMR
HG00622 male SAME1839278 EAS
HG00844 male SAME123952 EAS
HG00851 female SAME123756 EAS
HG00641 female SAME123435 AMR
HG01094 male SAME122925 AMR
HG01031 male SAME123728 EAS
HG01048 male SAME123169 AMR
HG00983 male SAME123769 EAS
HG01055 female SAME123638 AMR
HG01119 female SAME1840402 AMR
HG01098 female SAME123490 AMR
HG01121 male SAME1840127 AMR
HG01101 male SAME123677 AMR
HG01133 male SAME123884 AMR
HG01168 female SAME124796 AMR
HG01170 male SAME124623 AMR
HG01140 female SAME124422 AMR
HG01272 female SAME122996 AMR
HG01277 male SAME123000 AMR
HG01079 male SAME123013 AMR
HG01284 female SAME1839191 AMR
HG01171 female SAME124622 AMR
HG01125 female SAME124054 AMR
HG01176 male SAME124621 AMR
HG01137 female SAME123888 AMR
HG01183 female SAME124792 AMR
HG01253 male SAME125284 AMR
HG01067 female SAME122997 AMR
HG01113 female SAME123484 AMR
HG01260 female SAME122815 AMR
HG01149 female SAME124425 AMR
HG01188 female SAME124927 AMR
HG01086 female SAME125394 AMR
HG01190 male SAME123654 AMR
HG01164 male SAME1839690 AMR
HG01334 male SAME123533 EUR
HG01341 male SAME124859 AMR
HG01311 male SAME1839796 AMR
HG01323 female SAME1839534 AMR
HG01360 female SAME122855 AMR
HG01241 male SAME125065 AMR
HG01365 male SAME124508 AMR
HG01474 female SAME1840189 AMR
HG01372 female SAME1840339 AMR
HG01479 male SAME1840251 AMR
HG01377 male SAME124288 AMR
HG01384 female SAME122969 AMR
HG01392 male SAME1840234 AMR
HG01269 female SAME1839257 AMR
HG01271 male SAME122998 AMR
HG01405 male SAME1839863 AMR
HG01455 male SAME123429 AMR
HG01462 female SAME123539 AMR
HG01257 female SAME125288 AMR
HG01412 male SAME1839619 AMR
HG01431 male SAME1839260 AMR
HG01353 male SAME124685 AMR
HG01342 female SAME124856 AMR
HG01182 male SAME124789 AMR
HG01347 male SAME124861 AMR
HG01187 male SAME124783 AMR
HG01378 female SAME124076 AMR
HG01303 female SAME1840027 AMR
HG01308 male SAME1840002 AMR
HG01366 female SAME125265 AMR
HG01389 male SAME122972 AMR
HG01354 female SAME124680 AMR
HG01359 male SAME124687 AMR
HG01396 female SAME1839954 AMR
HG01443 male SAME1839032 AMR
HG01459 female SAME1840278 AMR
HG01599 female SAME125238 EAS
HG01461 male SAME122879 AMR
HG01602 female SAME123454 EUR
HG01497 male SAME124134 AMR
HG01500 male SAME124941 EUR
HG01537 female SAME125134 EUR
HG01435 female SAME1839239 AMR
HG01551 female SAME124008 AMR
HG01498 female SAME124142 AMR
HG01447 female SAME1839099 AMR
HG01501 female SAME124942 EUR
HG01485 male SAME1840047 AMR
HG01506 male SAME124947 EUR
HG01492 female SAME124137 AMR
HG01513 female SAME124768 EUR
HG01518 male SAME124766 EUR
HG01619 male SAME123632 EUR
HG01486 female SAME1840048 AMR
HG01524 male SAME125327 EUR
HG01607 female SAME123457 EUR
HG01512 male SAME124769 EUR
HG01525 female SAME125328 EUR
HG01556 male SAME1840141 AMR
HG01586 male SAME1839879 SAS
HG01789 male SAME124433 EUR
HG01593 female SAME1839634 SAS
HG01791 male SAME124221 EUR
HG01598 female SAME125239 EAS
HG01796 female SAME124220 EAS
HG01632 female SAME124032 EUR
HG01626 female SAME123842 EUR
HG01668 female SAME123111 EUR
HG01670 female SAME123290 EUR
HG01669 male SAME123110 EUR
HG01675 male SAME123287 EUR
HG01765 male SAME1839681 EUR
HG01613 female SAME123626 EUR
HG01618 female SAME123631 EUR
HG01620 female SAME123844 EUR
HG01676 female SAME123284 EUR
HG01550 male SAME124009 AMR
HG01695 female SAME124845 EUR
HG01682 male SAME124654 EUR
HG01777 male SAME124631 EUR
HG01784 female SAME124431 EUR
HG01694 male SAME124844 EUR
HG01708 male SAME123253 EUR
HG01531 female SAME125136 EUR
HG01710 female SAME123084 EUR
HG01536 male SAME125135 EUR
HG01746 female SAME125180 EUR
HG01699 male SAME1839210 EUR
HG01804 female SAME124302 EAS
HG01702 female SAME123259 EUR
HG01809 female SAME124299 EAS
HG01811 male SAME125380 EAS
HG01606 male SAME123458 EUR
